SL.NO.,HEADS CRIME,MAJOR HEADS,MINOR HEADS,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,
552,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0,,,,,,
553,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0,,,,,,
554,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0,,,,,,
555,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0,,,,,,
556,B - SPECIAL & LOCAL LAWS,CUSTOMS,Sub Total,0,0,0,0,,,,,,
557,B - SPECIAL & LOCAL LAWS,CUSTOMS,Explosives,,,,,,,,,,
558,B - SPECIAL & LOCAL LAWS,CUSTOMS,Explosives Substances Act 1908,26,3,4,3,,,,,,
559,B - SPECIAL & LOCAL LAWS,CUSTOMS,Explosives Act 1884,110,29,56,13,,,,,,
560,B - SPECIAL & LOCAL LAWS,CUSTOMS,Inflammable Substance Act 1952,0,0,0,0,,,,,,
561,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0,,,,,,
562,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0,,,,,,
563,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0,,,,,,
564,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,54,0,5,3,,,,,,
565,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0,,,,,,
566,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,2,0,0,0,,,,,,
567,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,9,1,0,2,,,,,,
568,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0,,,,,,
569,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0,,,,,,
570,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0,,,,,,
571,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0,,,,,,
572,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,206,22,21,22,,,,,,
573,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,75,17,6,8,,,,,,
574,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,4,0,0,1,,,,,,
575,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,304,4,6,3,,,,,,
576,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,1428,103,111,186,,,,,,
577,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,2108,208,163,238,,,,,,
578,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Sub Total,3536,311,274,424,,,,,,
579,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,PASSPORT ACT,,,,,,,,,,
580,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Foreigner,3,1,0,0,,,,,,
581,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Indian,1,0,0,0,,,,,,
582,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,19,0,2,12,,,,,,
583,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,104,0,0,0,,,,,,
584,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,10,0,0,0,,,,,,
585,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),4830,429,408,752,,,,,,
586,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),5818,1081,458,957,,,,,,
587,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),244,24,29,21,,,,,,
588,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,416,76,9,8,,,,,,
589,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,497,251,34,22,,,,,,
590,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,146,9,9,10,,,,,,
591,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,2,0,0,0,,,,,,
592,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0,,,,,,
593,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0,,,,,,
594,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0,,,,,,
595,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,1,1,0,0,,,,,,
596,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,0,0,0,,,,,,
597,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,7,0,0,2,,,,,,
598,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,1756,164,129,123,,,,,,
599,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0,,,,,,
600,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,1,0,0,0,,,,,,
601,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0,,,,,,
602,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,7,1,0,1,,,,,,
603,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,931,77,45,147,,,,,,
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,18,0,3,1,,,,,,
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,1,0,0,0,,,,,,
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,221,14,16,10,,,,,,
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,177,6,21,6,,,,,,
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,0,0,0,,,,,,
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0,,,,,,
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Prevention of Insult to National Hounours Act 1971,10,1,2,1,,,,,,
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Prevention of violence against Doctors, Medical professionals and Medical institutions",11,0,2,2,,,,,,
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0,,,,,,
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,6778,422,572,872,,,,,,
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,59,10,3,5,,,,,,
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,7,0,0,1,,,,,,
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,0,0,0,0,,,,,,
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0,,,,,,
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,1,0,0,0,,,,,,
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,0,0,0,,,,,,
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,30,3,4,4,,,,,,
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0,,,,,,
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0,,,,,,
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,34,3,2,1,,,,,,
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,0,0,0,,,,,,
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,30,1,0,13,,,,,,
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,0,1,0,0,,7,,,,
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,2,1,0,0,,1,,,,
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,5,0,0,2,,0,,,,
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0,,2,,,,
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,53,8,3,13,,8,,,,
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0,,60,,,,
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,1,0,0,,0,,,,
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,2,0,0,0,,0,,,,
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,1,0,0,1,,65,,,,
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0,,3,,,,
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0,,1,,,,
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,609,10,15,6,,1,,,,
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0,,2,,,,
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0,,4,,,,
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0,,1,,,,
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0,,18,,,,
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,1,0,0,0,,0,,,,
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0,,1,,,,
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,3,0,1,0,,3,,,,
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0,,5,,,,
646,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,15,2,1,1,,0,,,,
647,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0,,1,,,,
648,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,57,2,11,7,,36,,,,
649,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,1,1,0,0,,0,,,,
650,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,79,8,9,9,,1,,,,
651,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,0,0,0,0,,0,,,,
652,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,16,2,2,2,,0,,,,
653,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0,,0,,,,
654,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,131,6,11,10,,3,,,,
655,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Advertising Frauds,15,0,5,9,,,,,,
656,B - SPECIAL & LOCAL LAWS,CYBER CRIME,AEPS (Aadhaar),6,0,2,0,,,,,,
657,B - SPECIAL & LOCAL LAWS,CYBER CRIME,ATM Fraud,3,0,2,1,,,,,,
658,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Business Fraud,32,0,10,14,,,,,,
659,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Card Skimming,0,0,0,0,,,,,,
660,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Credit Card Fraud,268,0,97,113,,,,,,
661,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Crypto Currency, Bitcoin, etc.",18,0,11,5,,,,,,
662,B - SPECIAL & LOCAL LAWS,CYBER CRIME,CSAM (Child Pornography). Cyber Tip Line,6,0,2,3,,,,,,
663,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Data Theft,11,0,1,5,,,,,,
664,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Deep Fake/Deep Nudes,5,0,2,3,,,,,,
665,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Digital Arrest,312,0,155,152,,,,,,
666,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Email Spoofing / Fraud,7,0,3,2,,,,,,
667,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Fake Customer Care,72,1,33,39,,,,,,
668,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Fedex,216,0,103,90,,,,,,
669,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Gifts, iPhone & Lottery Fraud",42,1,12,20,,,,,,
670,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Hacking of Accounts & Ids,65,0,8,22,,,,,,
671,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Information Technology Act 2000, 2009",16928,2061,320,24,,,,,,
672,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Investment Fraud (Part Time Job, Task, Review)",559,3,196,260,,,,,,
673,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Investment Fraud (Trading & Share Trading),655,0,266,272,,,,,,
674,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Job Fraud,168,0,50,70,,,,,,
675,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Loan App,77,0,26,28,,,,,,
676,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Matrimony Fraud,23,0,9,11,,,,,,
677,B - SPECIAL & LOCAL LAWS,CYBER CRIME,OLX Fraud,32,0,18,10,,0,,,,
678,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Online Money Transfer,253,0,70,82,,,,,,
679,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Others ,314,0,103,185,,,,,,
680,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Otp Frauds (KYC Update, Apk Link)",225,0,77,99,,,,,,
681,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Phishing (Taking Password & Information),17,0,8,8,,,,,,
682,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Ransomeware Attack, Installing Spyware & Troman, Using Other Malware & Viruses to infect degital serv",1,0,0,1,,,,,,
683,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Remote Access Fraud  (Any Desk/ Team Viewer),1,0,0,1,,,,,,
684,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Sextortion and Revenge Porn,13,0,7,4,,,,,,
685,B - SPECIAL & LOCAL LAWS,CYBER CRIME,SIM card Swapping / SIM Jacking / SIM Cloning,6,0,5,1,,,,,,
686,B - SPECIAL & LOCAL LAWS,CYBER CRIME,Social Media Cases (Instagram/Facebook/Whatsapp/X /Telegram etc),129,1,42,34,,,,,,
687,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0,,0,,,,
688,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,1,0,0,0,,,,,,
689,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,8,0,0,2,,,,,,
690,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,0,0,0,0,,,,,,
691,B - SPECIAL & LOCAL LAWS,POCSO,Rape,2671,243,178,183,,,,,,
692,B - SPECIAL & LOCAL LAWS,POCSO,Others ,916,78,59,75,,,,,,
693,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,1,0,0,0,,,,,,
694,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,15,0,2,3,,,,,,
695,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,565,52,48,43,,,,,,
696,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,5900,486,452,430,,412,,,,
697,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,122,10,16,10,,13,,,,
698,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,161,9,21,15,,399,,,,
699,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0,,,,,,
700,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,10,2,1,0,,,,,,
701,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,350,31,23,30,668,,,,,
702,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,0,1,0,0,37,,738,,,327
703,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,34,2,3,2,631,,34,,,11
704,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,704,65,66,77,213,,704,,,316
705,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,1,1,0,0,16,,459-32,,,
706,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,104,14,9,5,197,,,,,
707,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,2768,227,230,220,,,,,598,
708,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,143,13,21,15,,408,,,33,
709,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,281,39,27,30,,,,,565,
710,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,1,0,0,0,,,,,,
711,C. CRIMES AGAINST WOMEN,Pornography,NA,0,0,0,0,,,224,,,
712,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,122,11,5,14,,,,393,,
713,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,28,1,3,3,,,,29,,
714,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,6200,667,517,474,,,,364,,
715,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,2,0,1,0,,,,,,
716,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0,,,,,,
717,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,57,5,8,5,,,,,,
718,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,3490,331,289,388,,,,,,
719,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,10,2,3,0,,,,,,
720,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,1,0,0,1,,,,,,
721,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,1,0,0,,,,,,
722,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0,,,,,,
723,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,4,0,0,1,,,,,,
724,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0,,,,3521,,
725,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,0,0,,,,31,,
726,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,16,0,0,2,,,,3490,,
727,D.CRIME AGAINST CHILDREN,Sub Total ,NA,3521,334,292,392,,,,,,
728,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0,,,,,,
729,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,142,9,8,11,,,,,,
730,D.CRIME AGAINST CHILDREN,POCSO Act,NA,3596,321,237,260,,,,,,
731,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,29,0,4,3,,,,,,
732,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,129,12,9,8,,,,,,
733,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,102,6,1,11,,,,,,
734,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,1,0,0,0,,,,,,
735,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,,,,,,,,,,
736,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,91,2,4,4,,,,,,
737,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,327,33,20,25,,,,,,
738,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,45,1,3,5,,,,,,
739,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,0,0,0,0,,,,,,
